No,PCS番号（通し）,回路数
228,PCS 2-16-3,7
229,PCS 2-16-4,7
230,PCS 2-17-1,7
231,PCS 2-17-2,7
232,PCS 2-17-3,7
233,PCS 2-17-4,7
234,PCS 2-18-1,7
235,PCS 2-18-2,7
236,PCS 2-18-3,7
237,PCS 2-18-4,7
238,PCS 2-19-1,7
239,PCS 2-19-2,7
240,PCS 2-19-3,7
241,PCS 2-19-4,7
242,PCS 2-20-1,7
243,PCS 2-20-2,7
244,PCS 2-20-3,7
245,PCS 2-20-4,7
246,PCS 2-22-1,7
247,PCS 2-22-2,7
248,PCS 2-22-3,7
249,PCS 2-22-4,7
250,PCS 2-8-1,7
251,PCS 2-8-2,7
252,PCS 2-8-3,7
253,PCS 2-8-4,7
254,PCS 2-9-1,7
255,PCS 2-9-2,7
256,PCS 2-9-3,7
257,PCS 2-9-4,7
258,PCS 2-10-1,7
259,PCS 2-10-2,7
260,PCS 2-10-3,7
261,PCS 2-10-4,7
262,PCS 2-11-1,7
263,PCS 2-11-2,7
264,PCS 2-11-3,7
265,PCS 2-11-4,7
266,PCS 2-12-1,7
267,PCS 2-12-2,7
268,PCS 2-12-3,7
269,PCS 2-12-4,7
270,PCS 2-13-1,7
271,PCS 2-13-2,7
272,PCS 2-13-3,7
273,PCS 2-13-4,7
274,PCS 2-14-1,7
275,PCS 2-14-2,7
276,PCS 2-14-3,7
277,PCS 2-14-4,7
278,PCS 1-29-1,7
279,PCS 1-29-2,7
280,PCS 1-29-3,7
281,PCS 1-29-4,7
282,PCS 1-30-1,7
283,PCS 1-30-2,7
284,PCS 1-30-3,7
285,PCS 1-30-4,7
286,PCS 1-31-1,7
287,PCS 1-31-2,7
288,PCS 1-31-3,7
289,PCS 1-31-4,7
290,PCS 1-32-1,7
291,PCS 1-32-2,7
292,PCS 1-32-3,7
293,PCS 1-32-4,7
294,PCS 1-33-1,7
295,PCS 1-33-2,7
296,PCS 1-33-3,7
297,PCS 1-33-4,7
298,PCS 1-34-1,7
299,PCS 1-34-2,7
300,PCS 1-34-3,7
301,PCS 1-34-4,7
302,PCS 1-35-1,7
303,PCS 1-35-2,7
304,PCS 1-35-3,7
305,PCS 1-35-4,7
306,PCS 1-36-1,7
307,PCS 1-36-2,7
308,PCS 1-36-3,7
309,PCS 1-36-4,7
310,PCS 1-37-1,7
311,PCS 1-37-2,7
312,PCS 1-37-3,7
313,PCS 1-37-4,7
314,PCS 1-38-1,7
315,PCS 1-38-2,7
316,PCS 1-38-3,7
317,PCS 1-38-4,7
318,PCS 1-39-1,7
319,PCS 1-39-2,7
320,PCS 1-39-3,7
321,PCS 1-39-4,7
322,PCS 1-40-1,7
323,PCS 1-40-2,7
324,PCS 1-40-3,7
325,PCS 1-40-4,7
326,PCS 1-41-1,7
327,PCS 1-41-2,7
328,PCS 1-41-3,7
329,PCS 1-42-1,7
330,PCS 1-42-2,7
331,PCS 1-42-3,7
332,PCS 1-42-4,7
333,PCS 1-14-1,8
334,PCS 1-14-2,8
335,PCS 1-14-3,8
336,PCS 1-14-4,8
337,PCS 1-15-1,8
338,PCS 1-15-2,8
339,PCS 1-15-3,8
340,PCS 1-15-4,8
341,PCS 1-16-1,8
342,PCS 1-16-2,8
343,PCS 1-16-3,7
344,PCS 1-16-4,8
345,PCS 1-25-1,7
346,PCS 1-25-2,8
347,PCS 1-25-3,8
348,PCS 1-25-4,8
349,PCS 1-26-1,7
350,PCS 1-26-2,7
351,PCS 1-26-3,7
352,PCS 1-26-4,7
353,PCS 1-27-1,7
354,PCS 1-27-2,7
355,PCS 1-27-3,7
356,PCS 1-27-4,7
357,PCS 1-28-1,7
358,PCS 1-28-2,7
359,PCS 1-28-3,7
360,PCS 1-28-4,8
361,PCS 1-17-1,8
362,PCS 1-17-2,7
363,PCS 1-17-3,7
364,PCS 1-17-4,7
365,PCS 1-18-1,7
366,PCS 1-18-2,7
367,PCS 1-18-3,7
368,PCS 1-18-4,7
369,PCS 1-20-1,7
370,PCS 1-20-2,7
371,PCS 1-20-3,7
372,PCS 1-20-4,7
373,PCS 1-21-1,7
374,PCS 1-21-2,7
375,PCS 1-21-3,7
376,PCS 1-21-4,7
377,PCS 1-22-1,7
378,PCS 1-22-2,7
379,PCS 1-22-3,7
380,PCS 1-22-4,7
381,PCS 1-23-1,7
382,PCS 1-23-2,7
383,PCS 1-23-3,7
384,PCS 1-23-4,7
385,PCS 1-24-1,8
386,PCS 1-24-2,8
387,PCS 1-24-3,8
388,PCS 1-24-4,8
389,PCS 3-8-1,7
390,PCS 3-8-2,7
391,PCS 3-8-3,7
392,PCS 3-8-4,7
393,PCS 3-9-1,7
394,PCS 3-9-2,7
395,PCS 3-9-3,7
396,PCS 3-9-4,7
397,PCS 3-10-1,7
398,PCS 3-10-2,7
399,PCS 3-10-3,7
400,PCS 3-10-4,7
401,PCS 3-11-1,7
402,PCS 3-11-2,7
403,PCS 3-11-3,7
404,PCS 3-11-4,7
405,PCS 3-12-1,7
406,PCS 3-12-2,7
407,PCS 3-12-3,7
408,PCS 3-12-4,7
409,PCS 3-13-1,7
410,PCS 3-13-2,7
411,PCS 3-13-3,7
412,PCS 3-13-4,7
413,PCS 3-14-1,7
414,PCS 3-14-2,7
415,PCS 3-14-3,7
416,PCS 3-1-1,7
417,PCS 3-1-2,7
418,PCS 3-1-3,7
419,PCS 3-1-4,7
420,PCS 3-2-1,7
421,PCS 3-2-2,7
422,PCS 3-2-3,7
423,PCS 3-2-4,7
424,PCS 3-3-1,8
425,PCS 3-3-2,8
426,PCS 3-3-3,8
427,PCS 3-3-4,8
428,PCS 3-4-1,7
429,PCS 3-4-2,7
430,PCS 3-4-3,7
431,PCS 3-4-4,7
432,PCS 3-5-1,7
433,PCS 3-5-2,7
434,PCS 3-5-3,7
435,PCS 3-5-4,7
436,PCS 3-6-1,7
437,PCS 3-6-2,7
438,PCS 3-6-3,7
439,PCS 3-6-4,7
440,PCS 3-7-1,7
441,PCS 3-7-2,7
442,PCS 3-7-3,7
443,PCS 3-7-4,7
444,PCS 3-29-1,8
445,PCS 3-29-2,8
446,PCS 3-29-3,8
447,PCS 3-29-4,8
448,PCS 3-30-1,8
449,PCS 3-30-2,8
450,PCS 3-30-3,8
451,PCS 3-30-4,8
452,PCS 3-31-1,8
453,PCS 3-31-2,7
454,PCS 3-31-3,7
455,PCS 3-31-4,7
456,PCS 3-32-1,7
457,PCS 3-32-2,7
458,PCS 3-32-3,7
459,PCS 3-32-4,7
460,PCS 3-33-1,7
461,PCS 3-33-2,7
462,PCS 3-33-3,7
